name,review_count,rating,address1,address2,city,state,zip_code,url,id,latitude,longitude,alias,title,price
"Try My T",2,5.0,"9854 National Blvd",,"Los Angeles",CA,90034,https://www.yelp.com/biz/try-my-t-los-angeles-3?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,rbaQYq4RMDIwi7sRtfCayQ,34.030521,-118.400973,coffee,"Coffee & Tea",2
"Papa Johns Pizza",85,2.5,"9844 National Blvd.",,"Los Angeles",CA,90034,https://www.yelp.com/biz/papa-johns-pizza-los-angeles-3?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,Pvf8aKlTgRdEF1ElTl8hJQ,34.03073,-118.40094,pizza,Pizza,2
Subway,42,2.0,"9842 National Blvd",,"Los Angeles",CA,90034,https://www.yelp.com/biz/subway-los-angeles-410?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,0IT9P0eGoVZw5R8cI8M7wg,34.0307897008422,-118.40089815,sandwiches,Sandwiches,2
"K & A Canton Restaurant",189,3.5,"9840 National Blvd",,"Los Angeles",CA,90034,https://www.yelp.com/biz/k-and-a-canton-restaurant-los-angeles?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,D9R0ynjo-hu7hnLEiWB7fA,34.0311497,-118.400895,chinese,Chinese,2
"Taco Plus",273,3.5,"9824 National Blvd",,"Los Angeles",CA,90034,https://www.yelp.com/biz/taco-plus-los-angeles-2?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,YHJTm4Z9kY7SBvPvLKR3PA,34.031244,-118.4005224,mexican,Mexican,2
"Sushi Zo | West Los Angeles",755,4.0,"9824 National Blvd","Ste C","Los Angeles",CA,90034,https://www.yelp.com/biz/sushi-zo-west-los-angeles-los-angeles?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,9atAfNzeCGq6NCfHVpYIUg,34.0311016,-118.400832,japanese,Japanese,2
Starbucks,101,3.0,"9824 National Blvd",,"Los Angeles",CA,90034,https://www.yelp.com/biz/starbucks-los-angeles-56?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,wXuabqfpviD1TjQREBIR4g,34.031081,-118.401007,coffee,"Coffee & Tea",2
Zooies,295,4.5,"9815 National Blvd",,"Los Angeles",CA,90034,https://www.yelp.com/biz/zooies-los-angeles?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,oP8nKBt-b9XdvI47118tdw,34.03169,-118.40011,bakeries,Bakeries,2
"The Coop Pizza",752,4.5,"10006 National Blvd",,"Los Angeles",CA,90034,https://www.yelp.com/biz/the-coop-pizza-los-angeles?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,V37t-r5pNZ_QeVPm8x66PA,34.0289553357089,-118.403455365908,pizza,Pizza,2
"Tandoori Eats",575,4.5,"10004 National Blvd",,"Los Angeles",CA,90034,https://www.yelp.com/biz/tandoori-eats-los-angeles?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,RnblmIZbbETiuW7bDOdRAw,34.0290013752151,-118.403463533333,indpak,Indian,2
"Señorita's Tamales",37,5.0,"Palms Blvd National Blvd",,"Los Angeles",CA,90034,https://www.yelp.com/biz/se%C3%B1oritas-tamales-los-angeles?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,pkfizSmxGlsPxUjhKSEbfA,34.0301138864681,-118.402745592313,vegan,Vegan,2
"Mollie B's Cookies",83,5.0,,,"Los Angeles",CA,90034,https://www.yelp.com/biz/mollie-bs-cookies-los-angeles-2?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,Wp_5ElGwS3sxE0YE_eYQ4A,34.0306777954102,-118.399559020996,bakeries,Bakeries,2
"Ayur Ras Healing Foods",59,5.0,,,"Los Angeles",CA,90034,https://www.yelp.com/biz/ayur-ras-healing-foods-los-angeles?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,drYIFWc8kJ4Eabi0g4YdMg,34.0324632253177,-118.395862877369,fooddeliveryservices,"Food Delivery Services",2
"Sweet State Bakery",3,5.0,,,"Los Angeles",CA,90034,https://www.yelp.com/biz/sweet-state-bakery-los-angeles?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,fhTx-3oNpTAlZ_PraEhNOw,34.02814483642578,-118.4024887084961,cupcakes,Cupcakes,2
"Cupcake Queen",4,5.0,,,"Los Angeles",CA,90034,https://www.yelp.com/biz/cupcake-queen-los-angeles?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,Z7UWg7AlSkMwoSI9naqWBw,34.02814483642578,-118.4024887084961,cupcakes,Cupcakes,2
"NY n Cali",3,4.5,"Ny N Cali Rd",,"Los Angeles",CA,90034,https://www.yelp.com/biz/ny-n-cali-los-angeles-2?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,iezdNL9b1XGRG1Oj2YOlqQ,34.0324632,-118.395863,foodtrucks,"Food Trucks",2
"Los Angeles Coffee Club",1,5.0,"3475 Motor Ave",,"Los Angeles",CA,90034,https://www.yelp.com/biz/los-angeles-coffee-club-los-angeles-2?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,sm-8E64subv5WrTi3izCgg,34.0324632,-118.395863,coffee,"Coffee & Tea",2
"Govinda's Natural Food Cafe",291,4.5,"3764 Watseka Ave",,"Los Angeles",CA,90034,https://www.yelp.com/biz/govindas-natural-food-cafe-los-angeles?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,4r0cX7eVMb3rwxd6xSnbLg,34.02524,-118.39714,vegetarian,Vegetarian,2
"Diorama-museum of Bhagavad-gita",89,5.0,"3764 Watseka Ave",,"Los Angeles",CA,90034,https://www.yelp.com/biz/diorama-museum-of-bhagavad-gita-los-angeles?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,b6TwR3xzfJ-A90heixripA,34.0253318,-118.3971124,artmuseums,"Art Museums",2
"Govinda International Imports",31,4.5,"3764 Watseka Ave",,"Los Angeles",CA,90034,https://www.yelp.com/biz/govinda-international-imports-los-angeles?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,KJm_VRfK-G_FsbiGcBljaQ,34.0252418518066,-118.39714050293,menscloth,"Men's Clothing",2
"Los Amiguis",2,3.5,"9715 Venice Blvd",,"Los Angeles",CA,90034,https://www.yelp.com/biz/los-amiguis-los-angeles?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,ot2inhO083tOMVC50UJuFQ,34.024528503418,-118.397575378418,streetvendors,"Street Vendors",2
