"Zip Code","Community / Communities","2019 (Estimates)*","2010","2000"
"Los Angeles County","All Zip Codes Within Los Angeles County ","10,105,722","9,818,605","9,519,338"
"90001","Los Angeles (South Los Angeles), Florence-Graham","59,832","57,110","54,481"
"90002","Los Angeles (Southeast Los Angeles, Watts)","53,302","51,223","44,584"
"90003","Los Angeles (South Los Angeles, Southeast Los Angeles)","73,730","66,266","58,187"
"90004","Los Angeles (Hancock Park, Rampart Village, Virgil Village, Wilshire Center, Windsor Square)","60,541","62,180","67,850"
"90005","Los Angeles (Hancock Park, Koreatown, Wilshire Center, Wilshire Park, Windsor Square)","39,732","37,681","43,014"
"90006","Los Angeles (Byzantine-Latino Quarter, Harvard Heights, Koreatown, Pico Heights)","59,576","59,185","62,765"
"90007","Los Angeles (Southeast Los Angeles, Univerity Park)","42,433","40,920","45,021"
"Zip Code","Community / Communities","2019 (Estimates)*","2010","2000"
"90008","Los Angeles (Baldwin Hills, Crenshaw, Leimert Park)","31,754","32,327","30,840"
"90010","Los Angeles (Hancock Park, Wilshire Center, Windsor Square)","3,822","3,800","1,943"
"90011","Los Angeles (Southeast Los Angeles)","111,165","103,892","101,214"
"90012","Los Angeles (Downtown Civic Center, Chinatown, Arts District, Bunker Hill, Historic Core, Little Tokyo)","36,552","31,103","30,577"
"90013","Los Angeles (Downtown Central, Downtown Fashion District)","12,559","11,772","9,727"
"90014","Los Angeles (Downtown Historic Core, Arts District)","8,688","7,005","3,518"
"90015","Los Angeles (Dowtown Fashion District, South Park-South)","22,651","18,986","15,134"
"90016","Los Angeles (West Adams)","45,899","47,596","46,968"
"Zip Code","Community / Communities","2019 (Estimates)*","2010","2000"
"90017","Los Angeles (Downtown Bunker Hill, City West, South Park-North)","27,723","23,768","20,689"
"90018","Los Angeles (Jefferson Park, Leimert Park)","53,490","49,310","47,127"
"90019","Los Angeles (Arlington Heights, Country Club Park, Mid-City)","64,534","64,458","67,510"
"90020","Los Angeles (Hancock Park, Western Wilton, Wilshire Center, Windsor Square)","39,189","38,967","42,383"
"90021","Los Angeles (Downtown Fashion District, Downtown Southeast)","2,945","3,951","3,003"
"90022","East Los Angeles","67,014","67,179","68,688"
"90023","Commerce, East Los Angeles","46,680","45,903","47,468"
"90024","Los Angeles (Westwood)","51,627","47,452","44,141"
"Zip Code","Community / Communities","2019 (Estimates)*","2010","2000"
"90025","Los Angeles (Sawtelle, West Los Angeles)","46,883","42,147","41,170"
"90026","Los Angeles (Echo Park, Silver Lake)","68,906","67,869","73,671"
"90027","Los Angeles (Griffith Park, Hollywood, Los Feliz)","44,770","45,151","48,715"
"90028","Los Angeles (Hollywood)","29,774","28,714","30,562"
"90029","Los Angeles (East Hollywood)","36,668","38,617","41,697"
"90031","Los Angeles (Lincoln Heights, Montecito Heights)","39,916","39,316","38,409"
"90032","Los Angeles (El Sereno, Monterey Hills, University Hills)","48,031","45,786","46,942"
"90033","Los Angeles (Boyle Heights)","49,155","48,852","49,418"
"Zip Code","Community / Communities","2019 (Estimates)*","2010","2000"
"90034","Los Angeles (Palms)","53,861","57,964","58,199"
"90035","Los Angeles (West Fairfax)","27,272","28,418","27,792"
"90036","Los Angeles (Fairfax, Melrose, Miracle Mile, Park La Brea, Wilshire-La Brea)","37,965","36,865","32,885"
"90037","Los Angeles (South Los Angeles)","67,640","62,276","56,691"
"90038","Los Angeles (Hollywood)","28,580","28,917","32,557"
"90039","Los Angeles (Atwater Village, Elysian Valley, Silver Lake)","29,510","28,514","29,306"
"90040","Commerce, City of","12,328","12,520","9,798"
"90041","Los Angeles (Eagle Rock)","29,090","27,425","27,864"
"Zip Code","Community / Communities","2019 (Estimates)*","2010","2000"
"90042","Los Angeles (Highland Park)","63,193","62,430","64,660"
"90043","Los Angeles (Hyde Park, View Park, Windsor Hills)","45,873","44,789","44,761"
"90044","Athens, Los Angeles (South Los Angeles)","99,443","89,779","87,366"
"90045","Los Angeles (Los Angeles International Airport, Westchester)","40,567","39,480","39,315"
"90046","Los Angeles (Hollywood), West Hollywood","50,900","48,581","49,831"
"90047","Los Angeles (South Los Angeles)","51,411","48,606","47,105"
"90048","Los Angeles (Mid-City West), West Hollywood","21,489","21,397","21,724"
"90049","Los Angeles (Bel Air Estates, Brentwood)","36,418","35,482","33,520"
"Zip Code","Community / Communities","2019 (Estimates)*","2010","2000"
"90056","Ladera Heights","7,649","7,827","8,108"
"90057","Los Angeles (Westlake)","50,152","44,998","43,986"
"90058","Los Angeles (Southeast Los Angeles), Vernon","2,718","3,223","3,624"
"90059","Los Angeles (Southeast Los Angeles, Watts), Willowbrook","46,185","40,952","38,123"
"90061","Los Angeles (South Los Angeles)","27,873","26,872","24,503"
"90062","Los Angeles (South Los Angeles)","35,916","32,821","29,279"
"90063","City Terrace, Los Angeles (Boyle Heights)","53,980","55,758","55,666"
"90064","Los Angeles (Cheviot Hills, Rancho Park)","25,925","25,403","24,489"
"Zip Code","Community / Communities","2019 (Estimates)*","2010","2000"
"90065","Los Angeles (Cypress Park, Glassell Park, Mt Washington)","46,461","45,527","47,524"
"90066","Culver City, Los Angeles (Mar Vista)","59,167","55,277","55,194"
"90067","Los Angeles (Century City)","2,428","2,424","2,524"
"90068","Los Angeles (Hollywood)","21,092","22,286","21,713"
"90069","Los Angeles (Hollywood, Melrose), West Hollywood","20,230","20,483","20,395"
"90071","Los Angeles (Downtown Bunker Hill, City West, Historic Core, South Park-North)","126","15","6"
"90073","Veterans Administration","953","539","No Data"
"90077","Los Angeles (Bel Air Estates, Beverly Glen)","8,382","9,377","10,465"
"Zip Code","Community / Communities","2019 (Estimates)*","2010","2000"
"90079","Los Angeles (Downtown Central, Downtown Fashion District)","0","0","No Data"
"90089","Los Angeles (University of Southern California)","3,786","3,217","No Data"
"90090","Los Angeles (Los Angeles Dodgers)","0","0","No Data"
"90094","Los Angeles (Playa Vista)","9,827","5,464","No Data"
"90095","Los Angeles (University of California Los Angeles)","0","3","No Data"
"90201","Bell, Bell Gardens, Cudahy","101,965","101,279","105,275"
"90210","Beverly Hills","19,314","21,741","21,396"
"90211","Beverly Hills","8,019","8,434","8,313"
"Zip Code","Community / Communities","2019 (Estimates)*","2010","2000"
"90212","Beverly Hills","13,314","11,555","11,347"
"90220","Compton, Rancho Dominguez","52,817","49,328","47,303"
"90221","Compton, East Rancho Dominguez","51,688","53,704","51,382"
"90222","Compton, Rosewood, Willowbrook","33,200","31,869","29,823"
"90230","Culver City","32,687","31,766","31,945"
"90232","Culver City","14,780","15,149","15,175"
"90240","Downey","26,413","25,876","24,891"
"90241","Downey","43,215","42,399","40,138"
"Zip Code","Community / Communities","2019 (Estimates)*","2010","2000"
"90242","Downey","42,694","43,497","42,444"
"90245","El Segundo","16,731","16,654","16,033"
"90247","Gardena","48,293","47,487","47,741"
"90248","Gardena","11,607","9,947","9,944"
"90249","Gardena","26,429","26,669","26,433"
"90250","Hawthorne (Holly Park)","97,072","93,193","93,314"
"90254","Hermosa Beach","19,539","19,506","18,682"
