rating,"Total Population, All Races",American Indian & Alaska Native,Asian,Black or African American,Native Hawaiian & Other Pacific Islander,White (Not Hispanic or Latino),Some Other Race,Two or More Races,Hispanic or Latino,Estimated Median Income,Num of Mex Restaurants
4,"73,730",0.72%,0.30%,20.68%,0.07%,0.46%,44.19%,0.93%,78.35%,"$40,598 ",3
3.5,"60,541",0.22%,25.47%,3.61%,0.29%,17.97%,31.28%,3.46%,50.29%,"$49,675 ",30
2.5,"60,541",0.22%,25.47%,3.61%,0.29%,17.97%,31.28%,3.46%,50.29%,"$49,675 ",30
3,"60,541",0.22%,25.47%,3.61%,0.29%,17.97%,31.28%,3.46%,50.29%,"$49,675 ",30
4,"60,541",0.22%,25.47%,3.61%,0.29%,17.97%,31.28%,3.46%,50.29%,"$49,675 ",30
4.5,"39,732",0.52%,34.22%,5.76%,0.16%,8.76%,33.73%,2.27%,49.48%,"$38,491 ",15
4,"39,732",0.52%,34.22%,5.76%,0.16%,8.76%,33.73%,2.27%,49.48%,"$38,491 ",15
3.5,"59,576",0.86%,18.40%,3.18%,0.19%,4.54%,42.11%,1.64%,73.08%,"$37,072 ",48
4,"59,576",0.86%,18.40%,3.18%,0.19%,4.54%,42.11%,1.64%,73.08%,"$37,072 ",48
4,"59,576",0.86%,18.40%,3.18%,0.19%,4.54%,42.11%,1.64%,73.08%,"$37,072 ",48
4.5,"59,576",0.86%,18.40%,3.18%,0.19%,4.54%,42.11%,1.64%,73.08%,"$37,072 ",48
3.5,"59,576",0.86%,18.40%,3.18%,0.19%,4.54%,42.11%,1.64%,73.08%,"$37,072 ",48
4,"59,576",0.86%,18.40%,3.18%,0.19%,4.54%,42.11%,1.64%,73.08%,"$37,072 ",48
3.5,"59,576",0.86%,18.40%,3.18%,0.19%,4.54%,42.11%,1.64%,73.08%,"$37,072 ",48
4,"59,576",0.86%,18.40%,3.18%,0.19%,4.54%,42.11%,1.64%,73.08%,"$37,072 ",48
3.5,"42,433",0.68%,19.51%,10.72%,0.16%,16.30%,28.45%,3.67%,51.07%,"$27,406 ",39
4.5,"42,433",0.68%,19.51%,10.72%,0.16%,16.30%,28.45%,3.67%,51.07%,"$27,406 ",39
4,"42,433",0.68%,19.51%,10.72%,0.16%,16.30%,28.45%,3.67%,51.07%,"$27,406 ",39
3.5,"42,433",0.68%,19.51%,10.72%,0.16%,16.30%,28.45%,3.67%,51.07%,"$27,406 ",39
4,"42,433",0.68%,19.51%,10.72%,0.16%,16.30%,28.45%,3.67%,51.07%,"$27,406 ",39
4.5,"42,433",0.68%,19.51%,10.72%,0.16%,16.30%,28.45%,3.67%,51.07%,"$27,406 ",39
3.5,"42,433",0.68%,19.51%,10.72%,0.16%,16.30%,28.45%,3.67%,51.07%,"$27,406 ",39
4,"42,433",0.68%,19.51%,10.72%,0.16%,16.30%,28.45%,3.67%,51.07%,"$27,406 ",39
2.5,"42,433",0.68%,19.51%,10.72%,0.16%,16.30%,28.45%,3.67%,51.07%,"$27,406 ",39
4.5,"42,433",0.68%,19.51%,10.72%,0.16%,16.30%,28.45%,3.67%,51.07%,"$27,406 ",39
4.5,"42,433",0.68%,19.51%,10.72%,0.16%,16.30%,28.45%,3.67%,51.07%,"$27,406 ",39
4,"42,433",0.68%,19.51%,10.72%,0.16%,16.30%,28.45%,3.67%,51.07%,"$27,406 ",39
5,"42,433",0.68%,19.51%,10.72%,0.16%,16.30%,28.45%,3.67%,51.07%,"$27,406 ",39
4.5,"42,433",0.68%,19.51%,10.72%,0.16%,16.30%,28.45%,3.67%,51.07%,"$27,406 ",39
2,"31,754",0.25%,3.41%,65.11%,0.14%,5.81%,10.56%,3.06%,23.83%,"$43,364 ",11
3.5,"31,754",0.25%,3.41%,65.11%,0.14%,5.81%,10.56%,3.06%,23.83%,"$43,364 ",11
4,"31,754",0.25%,3.41%,65.11%,0.14%,5.81%,10.56%,3.06%,23.83%,"$43,364 ",11
2,"3,822",0.94%,65.18%,5.99%,0.94%,14.21%,1.23%,4.50%,9.68%,"$63,112 ",10
2,"3,822",0.94%,65.18%,5.99%,0.94%,14.21%,1.23%,4.50%,9.68%,"$63,112 ",10
4,"111,165",1.25%,0.58%,7.64%,0.06%,0.52%,44.05%,1.74%,91.02%,"$40,940 ",62
3,"111,165",1.25%,0.58%,7.64%,0.06%,0.52%,44.05%,1.74%,91.02%,"$40,940 ",62
4.5,"111,165",1.25%,0.58%,7.64%,0.06%,0.52%,44.05%,1.74%,91.02%,"$40,940 ",62
4,"111,165",1.25%,0.58%,7.64%,0.06%,0.52%,44.05%,1.74%,91.02%,"$40,940 ",62
4,"111,165",1.25%,0.58%,7.64%,0.06%,0.52%,44.05%,1.74%,91.02%,"$40,940 ",62
4.5,"111,165",1.25%,0.58%,7.64%,0.06%,0.52%,44.05%,1.74%,91.02%,"$40,940 ",62
4,"36,552",1.12%,37.44%,13.79%,0.26%,16.66%,15.47%,4.04%,28.63%,"$47,027 ",35
4,"36,552",1.12%,37.44%,13.79%,0.26%,16.66%,15.47%,4.04%,28.63%,"$47,027 ",35
