name,review_count,rating,address1,address2,city,state,zip_code,url,id,latitude,longitude,alias,title,price
"ABC Chinese Fast Food",57,4.0,"100 W 7th St",,"Los Angeles",CA,90014,https://www.yelp.com/biz/abc-chinese-fast-food-los-angeles?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,yvC0Fa-byDqXErrs4YXVwQ,34.0439339800124,-118.251624857707,chinese,Chinese,2
"Braazo Pizza",746,4.5,"100 1/2 W 7th St",,"Los Angeles",CA,90014,https://www.yelp.com/biz/braazo-pizza-los-angeles?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,T1RfgUMYKW3HD55SEJILbQ,34.0438886,-118.251571,pizza,Pizza,2
"Alebrijes Mexican Grill",8,4.0,"102 W 7th St","Ste 0","Los Angeles",CA,90014,https://www.yelp.com/biz/alebrijes-mexican-grill-los-angeles-2?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,ds7b-5HWYXHejkg8r4GKcg,34.04403567559151,-118.25177670467863,mexican,Mexican,2
Bakexio,1,5.0,,,"Los Angeles",CA,90014,https://www.yelp.com/biz/bakexio-los-angeles-2?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,O_Kg6cAs55BCGX6lqaDciA,34.0450782775879,-118.253517150879,cupcakes,Cupcakes,2
"Bean's Pop-Up Cuisine",3,5.0,,,"Los Angeles",CA,90014,https://www.yelp.com/biz/beans-pop-up-cuisine-los-angeles?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,NbOnItlWPOOVbacuCbj_aA,34.0426712036133,-118.250885009766,newamerican,"American (New)",2
"MrBeast Burger",2,2.0,,,"Los Angeles",CA,90014,https://www.yelp.com/biz/mrbeast-burger-los-angeles-4?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,CWflwBPUr4HtWc2g5z2hvA,34.04507827758789,-118.2535171508789,fooddeliveryservices,"Food Delivery Services",2
"Mary's Hot Dog Cart",7,4.5,,,"Los Angeles",CA,90014,https://www.yelp.com/biz/marys-hot-dog-cart-los-angeles?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,vF9OYEe1ntN0GUJc29WGbA,34.04507827758789,-118.2535171508789,foodstands,"Food Stands",2
"Links By Magdaleno",1,5.0,,,"Los Angeles",CA,90014,https://www.yelp.com/biz/links-by-magdaleno-los-angeles?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,8xpMyOFAIgh4Vz90C58iwQ,34.0431480407715,-118.252265930176,hotdog,"Hot Dogs",2
"Ridges Churro Bar",215,4.0,,,"Los Angeles",CA,90014,https://www.yelp.com/biz/ridges-churro-bar-los-angeles?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,kHYPbhvo6AyMwE35cbl5XA,34.0434989929199,-118.250205993652,foodtrucks,"Food Trucks",2
"Wild Living Foods",617,4.0,"760 S Main St",,"Los Angeles",CA,90014,https://www.yelp.com/biz/wild-living-foods-los-angeles?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,cGaz4-wz0jhAB_Qr5byusg,34.0430896729231,-118.252573236823,juicebars,"Juice Bars & Smoothies",2
