name,review_count,rating,city,zip_code,id,latitude,longitude,alias,title,price
"El Pollo Loco",107,2.0,"Los Angeles",90010,Ize1BfSF3Z5NTYqfdo-i0g,34.062033935054465,-118.31358180613422,hotdogs,"Fast Food",NA
"Julie's Tacos",4,4.5,"Los Angeles",90004,q1GgAIYQ_YhYFwmqq33-ZA,34.068938,-118.32246,foodtrucks,"Food Trucks",NA
"Chef Kang Korean Taco",32,5.0,"Los Angeles",90010,ho3kMMflXm9q9skQui4ioQ,34.06187,-118.31129,korean,Korean,NA
"Caffe Delizioso",12,4.0,"Los Angeles",90010,wABOD2wsPLXDpGzfOxvl_Q,34.062295,-118.332631,sandwiches,Sandwiches,NA
Olocuilta,50,4.0,"Los Angeles",90020,26B8eoQay7_Fp1G2i5LSMQ,34.0633739,-118.30929419420447,salvadoran,Salvadoran,NA
"Taco Man Burrito Boy",1,1.0,"Los Angeles",90005,T-qkyX9dBEIRtPd9etI33A,34.0600700378418,-118.309768676758,foodtrucks,"Food Trucks",NA
"Toms Grill",4,5.0,"Los Angeles",90005,aTwJaeghoVTk02rfnhrnqA,34.05843,-118.3057,foodtrucks,"Food Trucks",NA
"Chehuahu Tacos",3,5.0,"Los Angeles",90005,oXkxVB9Hl7p9efES_BA8ug,34.0596281411676,-118.309000587471,streetvendors,"Street Vendors",NA
"Birrieria Cortez",1,5.0,"Los Angeles",90020,CP9XQRhazhmHwnhnMgFTPg,34.06650924682617,-118.30158233642578,mexican,Mexican,NA
"Mi Ricos Tacos",1,5.0,"Los Angeles",90020,YrwMm5w7m6RpY8zKWLto6A,34.06714962240979,-118.30929759889841,tacos,Tacos,NA
"Angelica's Mexican Food",23,3.5,"Los Angeles",90020,ESJP_pYRn9AqOs0RBHGDoQ,34.065359,-118.308328,streetvendors,"Street Vendors",NA
"Alejos Tacos",3,3.5,"Los Angeles",90010,VN8w106SGDlKlCBtaBc_4g,34.0616284721973,-118.307447224473,tacos,Tacos,NA
"Chelitas Authentic Mexican Cuisine",1,5.0,"Los Angeles",90019,BcHXA6rQjB0BmYf7QXW9Rg,34.0569557,-118.3344377,mexican,Mexican,NA
"Aguilar's Taco's",2,1.0,"Los Angeles",90014,kgk26UTpjRS-M-xBfMp_dg,34.06149,-118.30603,mexican,Mexican,NA
"Juanita's Tacos",127,4.0,"Los Angeles",90189,_5Z2zEujMT0cSTYC_hTpEQ,34.068871,-118.308156,mexican,Mexican,NA
