text,review_rating
The only thing you go to place like this for is the food. They weren't letting anyone inside so it's takeout only. I got the shrimp fried rice and egg...,4
"I had this growing up and having it 10+ years later, it taste the same. Honestly better, it's the way the meal comes together. The long noodles and the...",5
"Takeout container was so full/heavy, that I got a light workout carrying it back. 

$5.49 for chow mein or rice and a side. Food is fresh bc they have high...",3
"If you are from New Jersey?  Run, don't walk, to Brazzo.  If you are NOT from NJ (or married to someone from, like me), do yourself a favor and try the best...",5
"Shout out to the staff on the night of Saturday, October 16th, for being so accommodating right before closing. 

My fiancee and I had been walking for more...",5
Waiting 30 minutes over the given pick-up time for average pizza is not the business! The crew was not understaffed but they did what they could to keep up...,2
"Working right across the street right now was told they had Bomb! Burgers of all things, not even on the menu.I wasn't mislead they're good, since then I...",5
"I ordered 3 tortas, no mayonaise half ass pieces of meat
beans were not spread on bread just a lil spoon full.
Meat wasnt big enough to fir the size of the...",1
Total hidden gem in downtown L.A.  They have delicious fresh squeezed orange juice.  The beans taste like my Madre's refried beans.  Lovely presentation.,5
Best cupcakes I've had in a loooooong time! She made bday cakes for my wife GF and they were better than most. Artistry was on point! Thank you,5
"Great doesn't even begin to describe my experience. I have never even heard of this place, we just happened to be passing by and I tell you it was teriffic....",5
"Whether it's a brunch or dinner, Bean's food is awesome!!! 
For breakfast, I'd recommend the eggs benedict or heavenly potatoes or french toast with the...",5
"What's this?!? First to review, I'm surprised that this is the first but not the last. I was recently introduced to pop up brunch organized by Bean and...",5
"The guy at the window that handed me the food. The employee/cashier not sure of his name because I didn't get it. But, he was rude! Wouldn't return here.",1
It's okkkk. The first time I ordered I really liked the Chandler. I thought the fries were just ok. I ordered again (Chandler and Chicken Sandwich). They...,3
"It's an outdoor hot dog cart. No fluff! Nothing says LA then a bacon wrapped hot dog. Add some grilled onions, cabbage, mustard, ketchup, mayo, and don't...",4
Best hot dog cart downtown. She's on Hill st in front of chase bank now. Classic LA staple,5
"Their carne Asada tacos are delicious. And the bacon wrapped hot dog is everything you'll ever want! Put everything on there - ketchup, mustard, mayo!...",5
Awesome bacon wrapped dogs and hot links! Chef Mag tops them with killer fresh veggies and his own homemade sauce. Not only is the food perfect late night...,5
"This is such a fun treat! I'm a huge fan of churros, who isn't! And they have so many fun flavors to pick and choose from. I even went to one of their...",5
"The truck is not here all the time, but when it is, we usually grab something on our evening walks. I highly recommend the Strawberry Shortcake Churro...",4
I have been following this food truck for a while now on Instagram. Was happy that they ended up in Covina one day. I was really excited to try it. I...,4
"Spent Sunday up in LA and wanted to hit up a vegan spot. This place was open and available for dine in service.

We're all very nice and helpful. Since I...",5
